Updated accumulative weights and branch weights:
Transaction 177: Accumulative weight = 53591, Branch weight = 0
Transaction 178: Accumulative weight = 46059, Branch weight = 0
Transaction 179: Accumulative weight = 89794, Branch weight = 0
Transaction 180: Accumulative weight = 38487, Branch weight = 0
Transaction 181: Accumulative weight = 95746, Branch weight = 0
Transaction 182: Accumulative weight = 44325, Branch weight = 0
Transaction 183: Accumulative weight = 9814, Branch weight = 0
Transaction 184: Accumulative weight = 26261, Branch weight = 0
Transaction 185: Accumulative weight = 25707, Branch weight = 0
Transaction 186: Accumulative weight = 290, Branch weight = 0
Transaction 187: Accumulative weight = 32711, Branch weight = 0
Transaction 188: Accumulative weight = 4621, Branch weight = 0
Transaction 189: Accumulative weight = 50730, Branch weight = 0
Transaction 190: Accumulative weight = 44855, Branch weight = 0
Transaction 191: Accumulative weight = 46058, Branch weight = 0
Transaction 192: Accumulative weight = 10654, Branch weight = 0
Transaction 193: Accumulative weight = 4021, Branch weight = 0
Transaction 194: Accumulative weight = 4712, Branch weight = 0
Transaction 195: Accumulative weight = 59761, Branch weight = 0
Transaction 196: Accumulative weight = 16979, Branch weight = 0
Transaction 197: Accumulative weight = 32710, Branch weight = 0
Transaction 198: Accumulative weight = 34442, Branch weight = 0
Transaction 199: Accumulative weight = 15771, Branch weight = 0
Transaction 200: Accumulative weight = 31029, Branch weight = 0
Transaction 201: Accumulative weight = 53261, Branch weight = 0
Transaction 202: Accumulative weight = 63035, Branch weight = 0
Transaction 203: Accumulative weight = 4044, Branch weight = 0
Transaction 204: Accumulative weight = 13494, Branch weight = 0
Transaction 205: Accumulative weight = 3779, Branch weight = 0
Transaction 206: Accumulative weight = 44324, Branch weight = 0
Transaction 207: Accumulative weight = 44854, Branch weight = 0
Transaction 208: Accumulative weight = 58655, Branch weight = 0
Transaction 209: Accumulative weight = 1105, Branch weight = 0
Transaction 210: Accumulative weight = 841, Branch weight = 0
Transaction 211: Accumulative weight = 1105, Branch weight = 0
Transaction 212: Accumulative weight = 5322, Branch weight = 0
Transaction 213: Accumulative weight = 10479, Branch weight = 0
Transaction 214: Accumulative weight = 16978, Branch weight = 0
Transaction 215: Accumulative weight = 8737, Branch weight = 0
Transaction 216: Accumulative weight = 54097, Branch weight = 0
Transaction 217: Accumulative weight = 25706, Branch weight = 0
Transaction 218: Accumulative weight = 44853, Branch weight = 0
Transaction 219: Accumulative weight = 9282, Branch weight = 0
Transaction 220: Accumulative weight = 46057, Branch weight = 0
Transaction 221: Accumulative weight = 13493, Branch weight = 0
Transaction 222: Accumulative weight = 44323, Branch weight = 0
Transaction 223: Accumulative weight = 53260, Branch weight = 0
Transaction 224: Accumulative weight = 16977, Branch weight = 0
Transaction 225: Accumulative weight = 6406, Branch weight = 0
Transaction 226: Accumulative weight = 4557, Branch weight = 0
Transaction 227: Accumulative weight = 4043, Branch weight = 0
Transaction 228: Accumulative weight = 4807, Branch weight = 0
Transaction 229: Accumulative weight = 16423, Branch weight = 0
Transaction 230: Accumulative weight = 39766, Branch weight = 0
Transaction 231: Accumulative weight = 9282, Branch weight = 0
Transaction 232: Accumulative weight = 8736, Branch weight = 0
Transaction 233: Accumulative weight = 5321, Branch weight = 0
Transaction 234: Accumulative weight = 9813, Branch weight = 0
Transaction 235: Accumulative weight = 4556, Branch weight = 0
Transaction 236: Accumulative weight = 840, Branch weight = 0
Transaction 237: Accumulative weight = 12680, Branch weight = 0
Transaction 238: Accumulative weight = 13493, Branch weight = 0
Transaction 239: Accumulative weight = 6405, Branch weight = 0
Transaction 240: Accumulative weight = 837, Branch weight = 0
Transaction 241: Accumulative weight = 15611, Branch weight = 0
Transaction 242: Accumulative weight = 33376, Branch weight = 0
Transaction 243: Accumulative weight = 16976, Branch weight = 0
Transaction 244: Accumulative weight = 11475, Branch weight = 0
Transaction 245: Accumulative weight = 11476, Branch weight = 0
Transaction 246: Accumulative weight = 9281, Branch weight = 0
Transaction 247: Accumulative weight = 12679, Branch weight = 0
Transaction 248: Accumulative weight = 839, Branch weight = 0
Transaction 249: Accumulative weight = 13492, Branch weight = 0
Transaction 250: Accumulative weight = 10478, Branch weight = 0
Transaction 251: Accumulative weight = 1104, Branch weight = 0
Transaction 252: Accumulative weight = 3778, Branch weight = 0
Transaction 253: Accumulative weight = 515, Branch weight = 0
Transaction 254: Accumulative weight = 10735, Branch weight = 0
Transaction 255: Accumulative weight = 9280, Branch weight = 0
Transaction 256: Accumulative weight = 4555, Branch weight = 0
Transaction 257: Accumulative weight = 9812, Branch weight = 0
Transaction 258: Accumulative weight = 1593, Branch weight = 0
Transaction 259: Accumulative weight = 8169, Branch weight = 0
Transaction 260: Accumulative weight = 5500, Branch weight = 0
Transaction 261: Accumulative weight = 1943, Branch weight = 0
Transaction 262: Accumulative weight = 2308, Branch weight = 0
Transaction 263: Accumulative weight = 7142, Branch weight = 0
Transaction 264: Accumulative weight = 3679, Branch weight = 0
Transaction 265: Accumulative weight = 5822, Branch weight = 0
Transaction 266: Accumulative weight = 11475, Branch weight = 0
Transaction 267: Accumulative weight = 1641, Branch weight = 0
Transaction 268: Accumulative weight = 3732, Branch weight = 0
Transaction 269: Accumulative weight = 2401, Branch weight = 0
Transaction 270: Accumulative weight = 3457, Branch weight = 0
Transaction 271: Accumulative weight = 3678, Branch weight = 0
Transaction 272: Accumulative weight = 4711, Branch weight = 0
Transaction 273: Accumulative weight = 9844, Branch weight = 0
Transaction 274: Accumulative weight = 6404, Branch weight = 0
